индекс,Наименование,колво,цена,стоимость,date
189,доска шлифовальная,1,700,700,25.04.2022
190,"пленка 4,5 метра для дверей",1,675,675,25.04.2022
191,пленка 12 метров,12,150,1800,25.04.2022
192,шлифовальные губки,2,550,1100,25.04.2022
193,разгрузка мебели,1,9000,9000,11.06.2022
194,перевозка мебели,1,75000,75000,11.06.2022
195,ротгипс,1,2350,2350,12.06.2022
196,скотч бумажный,5,500,2500,12.06.2022
197,накладная розетка,1,900,900,12.06.2022
198,фун лента,1,200,200,12.06.2022
199,бур 6,2,600,1200,12.06.2022
200,розетка накладная,1,1350,1350,12.06.2022
201,ручки дверные,6,5841,35046,12.06.2022
202,накладка на замок,1,3555,3555,12.06.2022
203,задвижка на замок,1,1170,1170,12.06.2022
204,стопор,3,2070,6210,12.06.2022
205,выключатель проходной,3,1500,4500,12.06.2022
206,гелевые прокладки,2,100,200,12.06.2022
207,кранник на стиралку,1,1500,1500,12.06.2022
208,бур 6 хороший,2,1500,3000,12.06.2022
209,москитные сетки ,4,4500,18000,14.08.2022
210,ремонт домофона,1,2000,2000,14.08.2022
211,для вытяжки трубы,1,3390,3390,14.08.2022
212,"для подключения сантехники (отвод, тройник и тд)",1,5100,5100,14.08.2022
213,шина для кронштейнов,1,3535,3535,14.08.2022
214,анкера 8 на 49,20,23,460,14.08.2022
215,универсальный шуруп 5 на 60,20,27,540,14.08.2022
216,для посудомойки переходник,1,2450,2450,14.08.2022
217,сифон,1,3000,3000,15.08.2022
218,шланги гор и хол вода 60 см,2,600,1200,15.08.2022
219,герметик для кухни,1,2000,2000,15.08.2022
220,вентилятор эра мотор,1,9000,9000,22.08.2022
221,замена вентилятора и сборка дивана,1,1000,1000,22.08.2022
222,внешняя розетка на плиту,1,2000,2000,22.08.2022
223,"подключение посудомойки, раковины, плиты",1,10000,10000,22.08.2022
224,микроволновка,1,50000,50000,22.08.2022
225,чайник,1,18000,18000,22.08.2022
226,холодильник,1,384990,384990,11.07.2022
227,посудомойка,1,2500,2500,11.07.2022
228,духовка,1,220990,220990,11.07.2022
229,телевизор 55,1,344990,344990,11.07.2022
230,телевизор 43,1,269990,269990,11.07.2022
231,робот пылесос,1,1990,1990,11.07.2022
232,стиральная машина electrolux,1,334000,334000,03.08.2022
233,тумба под раковину ,1,120231,120231,12.08.2022
234,сифон в раковину ванной,1,2560,2560,12.08.2022
235,раковина ванной,1,85401,85401,12.08.2022
236,сушилка напольная,1,6435,6435,12.08.2022
237,полотно по металлу,1,1465,1465,13.08.2022
238,ножки для кухни,12,350,4200,13.08.2022
239,доставка ножки,1,2500,2500,13.08.2022
240,уголок металлический 3см 1 м длину,1,1500,1500,01.09.2022
241,газлифты gti 100,2,750,1500,01.09.2022
242,шуруп длинный,1,100,100,01.09.2022
243,сборка кухни,1,70000,70000,30.08.2022
244,стаканчики,5,7000,35000,
245,трек,1,40000,40000,
246,люстра в зал,1,100000,100000,
247,люстра на кухню,1,50000,50000,
248,бра в спальню,2,20000,40000,
249,натяжной потолок,1,100000,100000,11.09.2022
250,откосы,1,60000,60000,21.09.2022
251,шкаф у входа,1,150000,150000,
252,шкаф в гардеробной,1,400000,400000,21.09.2022
253,шкаф в спальне,1,400000,400000,
254,шкаф в ванной,1,100000,100000,
255,шкаф в зале,1,500000,500000,
256,установка сантехники в ванной,1,10000,10000,
257,установка освещения,1,20000,20000,
258,кронштейны,2,15000,30000,
259,тостер,1,30000,30000,
260,установка телевизоров,1,10000,10000,
261,узаконить перепланировку,1,300000,300000,
262,ремонтные работы,1,872960,872960,25.02.2022
263,ремонтные работы,1,870000,870000,23.04.2022
264,ремонтные работы,1,290000,290000,15.05.2022
265,ремонтные работы,1,290000,290000,21.06.2022
